"gene","0-90d CCD/HD log2 fold-change","0-90d CCD/HD p-value","0-90d CCD/HD FDR","90-120d CCD/HD log2 fold-change","90-120d CCD/HD p-value","90-120d CCD/HD FDR","120-150d CCD/HD log2 fold-change","120-150d CCD/HD p-value","120-150d CCD/HD FDR","150-360d CCD/HD log2 fold-change","150-360d CCD/HD p-value","150-360d CCD/HD FDR"
"CCR5",-0.133299205826994,0.150463352312796,0.282301386742211,-0.163359135225677,0.151318235416803,0.299153442396901,-0.143339926572239,0.212585140990942,0.328656627971997,0.0718400256088128,0.487703020643885,0.708144967305891
"IL36B",-0.201000367297634,0.158648139156413,0.290604292814945,-0.194099520474671,0.14520069662091,0.290357470748838,-0.299461407951568,0.0170646435083728,0.0456434928441943,-0.192720774286237,0.0562567308451974,0.203897041830981
"CXCL2",0.668707608298763,2.30645415840977e-05,0.0007131556257803,1.16506282611148,6.00353457002358e-08,9.28146444525645e-06,1.182756723638,1.72700148624752e-07,7.85277734629021e-06,0.659192096667893,0.00062606052201668,0.0139776160660166
"TXNIP",-0.264125297322994,1.63437477775921e-06,0.000105280975267323,-0.23591489047271,3.44467712840714e-05,0.00083210481883085,-0.222435558892728,0.000176625010273998,0.00126417715686852,-0.162987479959706,0.000753708845816809,0.014938895841446
"CXCR3",0.0842685632092536,0.226224117477302,0.370489921207531,0.179199942904094,0.0507857920839708,0.146058797546257,0.207442525268158,0.0102275694064487,0.0305595895002521,0.218799174043571,0.0100827241153891,0.0723982593381206
"RUNX3",0.0963878441112699,0.329124856364806,0.481843776458324,0.2165359725767,0.0161972147519489,0.0684015805142005,0.295279676381606,0.00545399342945664,0.0181721419007327,-0.0814200354001577,0.347592350027964,0.583949096814076
"SP1",-0.122726478363365,0.00297535053406797,0.0191662163569545,-0.0961019525135873,0.02932368438277,0.104457179851987,-0.0782548432584459,0.0732947508961355,0.146400109671092,-0.0244006175235933,0.535491789821181,0.735231178564427
"ALPL",-0.177445904256687,0.218864353073936,0.362274400270133,0.105326513733242,0.482850757886517,0.632616331942843,-0.0881809049064308,0.541412056845622,0.653494375601743,0.14800179397958,0.30495953145378,0.545307016182941
"IL12RB2",-0.0305378024610412,0.738700461846611,0.849681902883654,0.0387386470088792,0.665610523596377,0.76908360947683,-0.0734580436520888,0.34760150008908,0.464069014799411,-0.0999070315956784,0.208507501099384,0.441578899588558
"HSP90AA1",0.0160982865428045,0.77716255379795,0.875723985547836,0.0872472796852721,0.154485724329654,0.302322695966639,0.167888278444142,0.0306909798123511,0.0743703053133148,0.148372533437403,0.0491617801040402,0.191929575860723
"TCF7",0.0393962125643133,0.658932829894049,0.790924033397671,0.0354420686152083,0.681310208179437,0.783709510301644,0.0551585062524526,0.560448860085504,0.668560137108171,0.161644162437506,0.0874797750192836,0.263120101517145
"CCR2",-0.293069654008948,0.0259733214587163,0.083374263379483,-0.396618336788206,0.00467718355462453,0.0284682117143682,-0.354608898817791,0.0100788160829124,0.0304333001253565,0.165977695139658,0.177867464732544,0.402279951553518
"AP1G1",0.020548705394605,0.688109423857728,0.807766745535298,0.0116167852126494,0.850224321490026,0.8917549532046,-0.0632311431644939,0.270604288737084,0.390985262044423,-0.123436690797709,0.00234537744650471,0.0320272803348789
"DNAJA2",-0.0181590469552365,0.661481232021039,0.79275192612754,-0.00593034713384977,0.881571759945735,0.915934100051147,0.094013029957935,0.0408887198474276,0.0929617071825338,-0.035751911547974,0.371371716320047,0.605633621762439
"MAP3K8",-0.276064934326635,0.00183746077255503,0.0133995960111796,-0.156163039108381,0.103011893887238,0.226860951495256,-0.447834306775745,2.46238208826531e-05,0.000312036287578538,-0.423804111843068,2.00180273454507e-06,0.000386848378450834
"NCF4",-0.0429784389975259,0.595917015453232,0.738211302797033,-0.0513001268066807,0.565126734422698,0.702319880560684,0.0782201746560428,0.337102580201194,0.454764911859552,0.0190836757056401,0.807840747265699,0.914605851900811
"CTSW",-0.152737536272891,0.238530634968455,0.383335095281946,0.0784897767923516,0.506224667078171,0.653274904259476,-0.0427483786460935,0.714115081697996,0.790905794971874,0.0462233981146202,0.71760884499902,0.858668528699278
"IL20RA",-0.0370858684037604,0.747583519608797,0.849826559790588,-0.0357350790516609,0.768514773746122,0.834356629362012,-0.031790817860996,0.740110179139285,0.811496692871868,-0.00888382734407664,0.93205380750963,0.970994060923105
"IFI16",-0.242552923809413,0.0418243200709725,0.116715521353292,-0.350540202188334,0.00525098823707289,0.0300667696833877,-0.311330982956399,0.00624659886174323,0.0204288956507022,0.0642722884114175,0.518672794798819,0.72240373041349
"IL36RN",-0.0412013285699543,0.733130482157493,0.848368057945722,-0.159648927443685,0.233360847943282,0.397330254317526,-0.120637487309829,0.251131235600257,0.371885910189652,-0.0844468668479033,0.423927655629039,0.65109824495943
"SOCS1",0.382343959338706,1.0192966104546e-05,0.000414692778884952,0.502690880644572,8.12228481964601e-07,5.70775105962397e-05,0.605342939221029,8.8087164375306e-08,7.11287894706128e-06,0.240204298506405,0.00714054347594394,0.061329334521163
"NLRC4",-0.156281317400428,0.158464397763236,0.290604292814945,-0.125334224324078,0.261635025287329,0.422221032457422,-0.131513691626396,0.215892752341287,0.332440433386086,0.102934782979075,0.287903183279543,0.524880095931808
"CCL16",-0.0157238151746209,0.883547470064351,0.940777602805795,-0.0270726053803691,0.815918731812468,0.869093313652663,-0.0474712595602399,0.594819406111933,0.696659698370492,0.0387411697608407,0.65482168221907,0.819830750161119
